No.,店舗名,電話番号,住所,定休日,ジャンル,座席・設備,営業時間,URL
28,まました(まました),050-5461-5725,東京都目黒区三田１-１１-１９,毎週日曜日祝日詳しくは公式HPにて確認,カフェ,32席,[月~金]ディナー:17:00〜23:30LO22:30[土]ディナー:17:00〜23:00LO22:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE7/SUB701/100001181485/
29,タイ料理みもっと(たいりょうりみもっと),03-6426-6352,東京都目黒区目黒１-２４-７,毎週月曜日毎週火曜日毎週日曜日,カフェ,,[水~金・土]18:00〜22:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100001517009/
30,マッシュタン(THEMASHTUN),03-3449-3649,東京都品川区上大崎２-１４-３三笠ビルB棟２F,不定休,カフェ,8席（）,[月~金・土]19:00〜27:00[日・祝]19:00〜24:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100000808228/
31,釣船茶屋ざうお目黒店(つりぶねちゃやざうおめぐろてん),03-6417-9588,東京都品川区上大崎２-２７-１サンフェリスタ目黒５F,無休年末年始（要確認）,カフェ,250席,[月~金・祝・祝前]17:00〜23:00LO22:00[土・日]11:30〜23:00LO22:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100000766045/
32,可らし(Karashiからし),03-5423-5424,東京都港区白金台３-１９-５OKビル１F,毎週月曜日年末年始（要確認）,カフェ,25席,[火~金・土・日]ディナー:16:00〜22:00LO21:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100000000601/
33,MARCELO'S(マルセロズ),03-6417-9888,東京都目黒区下目黒１-５-１６本田ビル２F,毎週日曜日祝日,カフェ,22席,[月~金]ディナー:18:00〜23:00[土]ディナー:18:00〜22:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100000036254/
34,焼肉翠苑目黒本店(すいえん),03-3446-3335,東京都品川区上大崎２-１６-４甲陽ビル３F,無休,カフェ,40席,[全日]11:00〜24:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100000020516/
35,しら石(しらいし),03-5768-2882,東京都目黒区三田２-８-８テラス三田１F,毎週日曜日,カフェ,20席,[月~金・土]17:30〜23:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100000046564/
36,つきはし(つきはし),050-5461-5730,東京都目黒区目黒１-５-１７目黒パルテノンビル４F,毎週日曜日祝日,カフェ,25席,[月~金]ディナー:18:00〜22:30LO21:30[土]ディナー:18:00〜21:30LO20:30※しばらくの間、ランチ営業はお休みしております。お休みなどお店の情報は、随時Facebookに載せております。https://www.facebook.com/tukihashi/どうぞ宜しくお願いいたします。※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100000856981/
37,ホテル雅叙園東京(ほてるがじょえんとうきょう),03-3491-4111,東京都目黒区下目黒１-８-１,毎週水曜日,カフェ,150席,[月・火・木・金・土・日・祝]11:30〜14:3017:30〜20:00LO19:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100000856930/
38,パセリ(parsley),03-5487-2717,東京都品川区上大崎２-２６-５,,カフェ,,[月~金・祝前]ディナー:17:00〜23:00LO22:00[土・日・祝]ディナー:17:00〜24:00LO23:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100000104362/
39,めぐろ大黒屋(めぐろだいこくや),03-3493-5260,東京都目黒区目黒２-８-４,毎週日曜日祝日,カフェ,16席,ランチ:11:30〜14:00ディナー:17:30〜19:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100000751264/
40,和の香(わのか),03-3493-6009,東京都品川区上大崎２-１８-２０中銀目黒駅前マンションB１F,毎週日曜日祝日,カフェ,22席,[月~金]ランチ:11:30〜14:00[月~金・土]ディナー:18:00〜24:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100000344371/
